date,value
2020-01-01,52.0
2020-02-01,50.0
2020-03-01,44.0
2020-04-01,38.0
2020-05-01,38.0
2020-06-01,38.0
2020-07-01,38.0
2020-08-01,38.0
2020-09-01,38.0
2020-10-01,38.0
2020-11-01,38.0
2020-12-01,38.0
2021-01-01,38.0
2021-02-01,38.0
2021-03-01,38.0
2021-04-01,38.0
2021-05-01,38.0
2021-06-01,38.0
2021-07-01,38.0
2021-08-01,38.0
2021-09-01,38.0
2021-10-01,38.0
2021-11-01,38.0
2021-12-01,40.0
2022-01-01,40.0
2022-02-01,40.0
2022-03-01,42.5
2022-04-01,47.0
2022-05-01,49.0
2022-06-01,52.0
2022-07-01,60.0
2022-08-01,69.5
2022-09-01,75.0
2022-10-01,75.0
2022-11-01,75.0
2022-12-01,75.0
2023-01-01,75.0
2023-02-01,75.0
2023-03-01,78.0
2023-04-01,81.0
2023-05-01,97.0
2023-06-01,97.0
2023-07-01,97.0
2023-08-01,118.0
2023-09-01,118.0
2023-10-01,133.0
2023-11-01,133.0
2023-12-01,100.0
2024-01-01,97.0
2024-02-01,60.0
2024-03-01,60.0
2024-04-01,60.0
2024-05-01,40.0
2024-06-01,40.0
2024-07-01,40.0
2024-08-01,40.0
2024-09-01,35.0
2024-10-01,35.0
2024-11-01,35.0
2024-12-01,32.0
2025-01-01,29.0
2025-02-01,29.0
