date,value
2020-01-01,121.27
2020-02-01,131.79
2020-03-01,124.58
2020-04-01,111.97
2020-05-01,96.82
2020-06-01,100.43
2020-07-01,102.84
2020-08-01,102.62
2020-09-01,108.36
2020-10-01,107.61
2020-11-01,111.65
2020-12-01,111.71
2021-01-01,116.09
2021-02-01,116.23
2021-03-01,112.9
2021-04-01,104.95
2021-05-01,105.9
2021-06-01,107.32
2021-07-01,110.98
2021-08-01,111.99
2021-09-01,114.66
2021-10-01,109.37
2021-11-01,109.35
2021-12-01,112.0
2022-01-01,108.35
2022-02-01,104.05
2022-03-01,105.12
2022-04-01,104.35
2022-05-01,105.87
2022-06-01,103.6
2022-07-01,105.58
2022-08-01,106.76
2022-09-01,111.46
2022-10-01,114.23
2022-11-01,116.79
2022-12-01,122.84
2023-01-01,125.38
2023-02-01,128.78
2023-03-01,127.42
2023-04-01,125.1
2023-05-01,122.22
2023-06-01,125.27
2023-07-01,124.46
2023-08-01,131.02
2023-09-01,132.64
2023-10-01,132.75
2023-11-01,129.74
2023-12-01,133.46
2024-01-01,133.25
2024-02-01,138.22
2024-03-01,132.52
2024-04-01,129.59
2024-05-01,126.46
2024-06-01,127.05
2024-07-01,127.78
2024-08-01,127.27
2024-09-01,123.23
2024-10-01,120.97
2024-11-01,123.93
2024-12-01,125.62
2025-01-01,123.51
2025-02-01,120.48
2025-03-01,115.21
2025-04-01,111.01
2025-05-01,111.73
2025-06-01,112.89
2025-07-01,108.94
2025-08-01,111.88
2025-09-01,110.2
2025-10-01,113.63
2025-11-01,118.65
2025-12-01,124.46
2026-01-01,127.39
