date,value
2020-01-01,0.09
2020-02-01,0.52
2020-03-01,-0.11
2020-04-01,-0.13
2020-05-01,-0.27
2020-06-01,-0.05
2020-07-01,0.04
2020-08-01,-0.2
2020-09-01,0.32
2020-10-01,0.71
2020-11-01,0.5
2020-12-01,0.85
2021-01-01,0.28
2021-02-01,0.65
2021-03-01,0.39
2021-04-01,0.23
2021-05-01,0.41
2021-06-01,0.46
2021-07-01,0.67
2021-08-01,0.64
2021-09-01,0.8
2021-10-01,1.18
2021-11-01,0.55
2021-12-01,1.04
2022-01-01,0.73
2022-02-01,1.26
2022-03-01,0.76
2022-04-01,0.88
2022-05-01,0.93
2022-06-01,0.77
2022-07-01,0.43
2022-08-01,0.49
2022-09-01,0.26
2022-10-01,0.71
2022-11-01,0.11
2022-12-01,0.75
2023-01-01,0.43
2023-02-01,1.05
2023-03-01,0.26
2023-04-01,0.47
2023-05-01,0.09
2023-06-01,0.14
2023-07-01,0.2
2023-08-01,0.18
2023-09-01,0.22
2023-10-01,0.36
2023-11-01,0.2
2023-12-01,0.47
2024-01-01,0.16
2024-02-01,0.72
2024-03-01,0.01
2024-04-01,0.11
2024-05-01,0.36
2024-06-01,0.08
2024-07-01,0.59
2024-08-01,0.22
2024-09-01,0.16
2024-10-01,0.31
2024-11-01,0.58
2024-12-01,0.66
2025-01-01,0.65
2025-02-01,0.66
2025-03-01,0.53
2025-04-01,0.37
2025-05-01,0.14
2025-06-01,0.26
2025-07-01,0.34
2025-08-01,0.31
2025-09-01,0.1
2025-10-01,0.26
2025-11-01,0.26
2025-12-01,0.63
2026-01-01,0.29
2026-02-01,1.06
