date,value
2020-01-01,11.3
2020-02-01,11.7
2020-03-01,12.4
2020-04-01,12.7
2020-05-01,13.1
2020-06-01,13.6
2020-07-01,14.1
2020-08-01,14.8
2020-09-01,14.9
2020-10-01,14.6
2020-11-01,14.3
2020-12-01,14.2
2021-01-01,14.4
2021-02-01,14.6
2021-03-01,14.9
2021-04-01,14.8
2021-05-01,14.7
2021-06-01,14.2
2021-07-01,13.7
2021-08-01,13.2
2021-09-01,12.7
2021-10-01,12.1
2021-11-01,11.6
2021-12-01,11.1
2022-01-01,11.2
2022-02-01,11.2
2022-03-01,11.1
2022-04-01,10.5
2022-05-01,9.8
2022-06-01,9.3
2022-07-01,9.1
2022-08-01,8.9
2022-09-01,8.7
2022-10-01,8.3
2022-11-01,8.1
2022-12-01,7.9
2023-01-01,8.4
2023-02-01,8.6
2023-03-01,8.8
2023-04-01,8.5
2023-05-01,8.3
2023-06-01,8.0
2023-07-01,7.9
2023-08-01,7.8
2023-09-01,7.7
2023-10-01,7.6
2023-11-01,7.5
2023-12-01,7.4
2024-01-01,7.6
2024-02-01,7.8
2024-03-01,7.9
2024-04-01,7.5
2024-05-01,7.1
2024-06-01,6.9
2024-07-01,6.8
2024-08-01,6.6
2024-09-01,6.4
2024-10-01,6.2
2024-11-01,6.1
2024-12-01,6.2
2025-01-01,6.5
2025-02-01,6.8
2025-03-01,7.0
2025-04-01,6.6
2025-05-01,6.2
2025-06-01,5.8
2025-07-01,5.6
2025-08-01,5.6
2025-09-01,5.6
2025-10-01,5.4
2025-11-01,5.2
2025-12-01,5.1
2026-01-01,5.4
