date,value
2020-01-01,1.75
2020-02-01,1.75
2020-03-01,1.41
2020-04-01,0.5
2020-05-01,0.49
2020-06-01,0.47
2020-07-01,0.5
2020-08-01,0.35
2020-09-01,0.3
2020-10-01,0.3
2020-11-01,0.3
2020-12-01,0.3
2021-01-01,0.3
2021-02-01,0.3
2021-03-01,0.3
2021-04-01,0.3
2021-05-01,0.3
2021-06-01,0.32
2021-07-01,0.54
2021-08-01,0.75
2021-09-01,1.5
2021-10-01,2.29
2021-11-01,2.75
2021-12-01,3.33
2022-01-01,4.27
2022-02-01,5.5
2022-03-01,5.5
2022-04-01,6.98
2022-05-01,8.09
2022-06-01,8.77
2022-07-01,9.55
2022-08-01,9.75
2022-09-01,10.75
2022-10-01,11.17
2022-11-01,11.25
2022-12-01,11.25
2023-01-01,11.25
2023-02-01,11.25
2023-03-01,11.25
2023-04-01,11.25
2023-05-01,11.25
2023-06-01,11.25
2023-07-01,11.25
2023-08-01,10.25
2023-09-01,9.55
2023-10-01,9.44
2023-11-01,9.0
2023-12-01,8.98
2024-01-01,8.25
2024-02-01,7.25
2024-03-01,7.24
2024-04-01,6.56
2024-05-01,6.39
2024-06-01,5.88
2024-07-01,5.75
2024-08-01,5.75
2024-09-01,5.53
2024-10-01,5.4
2024-11-01,5.25
2024-12-01,5.15
2025-01-01,5.0
2025-02-01,5.0
2025-03-01,5.0
2025-04-01,5.0
2025-05-01,5.0
2025-06-01,5.0
2025-07-01,4.99
2025-08-01,4.75
2025-09-01,4.75
2025-10-01,4.75
2025-11-01,4.75
2025-12-01,4.64
