date,value
2020-01-01,7.896849
2020-02-01,8.011385
2020-03-01,8.902861
2020-04-01,11.01128
2020-05-01,12.03207
2020-06-01,12.58463
2020-07-01,12.52301
2020-08-01,12.13671
2020-09-01,11.61375
2020-10-01,11.15341
2020-11-01,10.89431
2020-12-01,10.62443
2021-01-01,10.44544
2021-02-01,10.10728
2021-03-01,10.09983
2021-04-01,9.905662
2021-05-01,9.413675
2021-06-01,8.640536
2021-07-01,8.296682
2021-08-01,8.282679
2021-09-01,8.08319
2021-10-01,7.777062
2021-11-01,7.601418
2021-12-01,7.574131
2022-01-01,7.602183
2022-02-01,7.589211
2022-03-01,7.601481
2022-04-01,7.716572
2022-05-01,7.764797
2022-06-01,7.705006
2022-07-01,7.716431
2022-08-01,7.936612
2022-09-01,7.953893
2022-10-01,8.169125
2022-11-01,8.287806
2022-12-01,8.370317
2023-01-01,8.486342
2023-02-01,8.576314
2023-03-01,8.496206
2023-04-01,8.448446
2023-05-01,8.489565
2023-06-01,8.57294
2023-07-01,8.779894
2023-08-01,8.796233
2023-09-01,8.837091
2023-10-01,8.927572
2023-11-01,8.908081
2023-12-01,8.772549
2024-01-01,8.63836
2024-02-01,8.451652
2024-03-01,8.374741
2024-04-01,8.23776
2024-05-01,8.310049
2024-06-01,8.49978
2024-07-01,8.692053
2024-08-01,8.614594
2024-09-01,8.522381
2024-10-01,8.368669
2024-11-01,8.485577
2024-12-01,8.359176
2025-01-01,8.538954
2025-02-01,8.499061
2025-03-01,8.705813
2025-04-01,8.857032
2025-05-01,8.851671
2025-06-01,8.517269
2025-07-01,8.359447
2025-08-01,8.39195
2025-09-01,8.380751
2025-10-01,8.559013
2025-11-01,8.450837
