date,value,mom_pct
2020-01-01,3.62,0.54
2020-02-01,3.72,0.71
2020-03-01,3.72,0.57
2020-04-01,3.46,0.12
2020-05-01,2.85,0.18
2020-06-01,2.19,0.29
2020-07-01,1.97,-0.07
2020-08-01,1.9,0.07
2020-09-01,1.97,0.44
2020-10-01,1.75,0.68
2020-11-01,1.49,0.16
2020-12-01,1.61,0.33
2021-01-01,1.6,0.64
2021-02-01,1.56,0.65
2021-03-01,1.51,0.78
2021-04-01,1.95,0.41
2021-05-01,3.3,0.31
2021-06-01,3.63,0.33
2021-07-01,3.97,0.54
2021-08-01,4.44,0.63
2021-09-01,4.51,0.55
2021-10-01,4.58,0.69
2021-11-01,5.26,0.29
2021-12-01,5.62,0.73
2022-01-01,6.94,1.67
2022-02-01,8.01,1.63
2022-03-01,8.53,1.0
2022-04-01,9.23,0.95
2022-05-01,9.07,0.88
2022-06-01,9.67,0.93
2022-07-01,10.21,0.97
2022-08-01,10.84,1.02
2022-09-01,11.44,0.63
2022-10-01,12.22,0.54
2022-11-01,12.53,0.76
2022-12-01,13.12,0.42
2023-01-01,13.25,1.78
2023-02-01,13.28,1.66
2023-03-01,12.73,1.12
2023-04-01,12.82,0.64
2023-05-01,12.36,0.43
2023-06-01,12.13,0.31
2023-07-01,11.78,0.28
2023-08-01,11.43,0.24
2023-09-01,10.99,0.16
2023-10-01,10.48,0.23
2023-11-01,10.15,0.11
2023-12-01,9.28,0.33
2024-01-01,8.35,0.82
2024-02-01,7.74,0.63
2024-03-01,7.36,0.54
2024-04-01,7.16,0.68
2024-05-01,7.18,0.44
2024-06-01,6.86,0.27
2024-07-01,6.86,0.27
2024-08-01,6.11,0.21
2024-09-01,5.81,0.25
2024-10-01,5.41,0.23
2024-11-01,5.2,0.18
2024-12-01,5.2,0.15
2025-01-01,5.22,0.64
2025-02-01,5.08,0.62
