date,value
2020-01-01,4.54
2020-02-01,4.46
2020-03-01,4.5
2020-04-01,4.55
2020-05-01,4.29
2020-06-01,3.76
2020-07-01,3.34
2020-08-01,2.79
2020-09-01,2.39
2020-10-01,2.03
2020-11-01,1.96
2020-12-01,1.93
2021-01-01,1.91
2021-02-01,1.81
2021-03-01,1.77
2021-04-01,1.76
2021-05-01,1.82
2021-06-01,1.91
2021-07-01,1.9
2021-08-01,1.99
2021-09-01,2.05
2021-10-01,2.22
2021-11-01,2.65
2021-12-01,3.08
2022-01-01,3.47
2022-02-01,4.31
2022-03-01,4.97
2022-04-01,5.97
2022-05-01,7.04
2022-06-01,7.72
2022-07-01,9.3
2022-08-01,10.57
2022-09-01,10.99
2022-10-01,11.6
2022-11-01,12.63
2022-12-01,13.42
2023-01-01,13.91
2023-02-01,14.39
2023-03-01,13.31
2023-04-01,12.53
2023-05-01,12.57
2023-06-01,13.02
2023-07-01,13.58
2023-08-01,13.71
2023-09-01,13.07
2023-10-01,13.09
2023-11-01,12.76
2023-12-01,12.63
2024-01-01,11.62
2024-02-01,11.07
2024-03-01,10.85
2024-04-01,10.56
2024-05-01,10.24
2024-06-01,10.14
2024-07-01,10.08
2024-08-01,9.9
2024-09-01,9.68
2024-10-01,9.44
2024-11-01,9.27
2024-12-01,9.22
2025-01-01,9.22
2025-02-01,9.25
2025-03-01,9.26
2025-04-01,9.16
2025-05-01,8.94
2025-06-01,8.94
2025-07-01,8.93
2025-08-01,8.78
2025-09-01,8.76
2025-10-01,8.67
2025-11-01,8.66
2025-12-01,8.95
2026-01-01,9.01
