date,value
2020-01-01,12.2
2020-02-01,12.2
2020-03-01,12.6
2020-04-01,19.8
2020-05-01,21.4
2020-06-01,19.8
2020-07-01,20.2
2020-08-01,16.8
2020-09-01,15.8
2020-10-01,15.1
2020-11-01,14.4
2020-12-01,14.2
2021-01-01,17.3
2021-02-01,15.9
2021-03-01,14.2
2021-04-01,15.0
2021-05-01,15.6
2021-06-01,14.4
2021-07-01,14.3
2021-08-01,12.3
2021-09-01,11.6
2021-10-01,11.3
2021-11-01,10.8
2021-12-01,11.1
2022-01-01,14.6
2022-02-01,13.1
2022-03-01,11.4
2022-04-01,11.0
2022-05-01,10.1
2022-06-01,10.6
2022-07-01,10.7
2022-08-01,10.4
2022-09-01,10.7
2022-10-01,10.3
2022-11-01,9.8
2022-12-01,9.7
2023-01-01,13.1
2023-02-01,12.0
2023-03-01,10.9
2023-04-01,10.8
2023-05-01,10.5
2023-06-01,10.4
2023-07-01,11.0
2023-08-01,10.2
2023-09-01,10.2
2023-10-01,10.1
2023-11-01,9.3
2023-12-01,9.3
2024-01-01,12.2
2024-02-01,11.1
2024-03-01,10.1
2024-04-01,9.9
2024-05-01,9.2
2024-06-01,9.3
2024-07-01,9.8
2024-08-01,9.0
2024-09-01,9.5
2024-10-01,9.5
2024-11-01,8.9
2024-12-01,9.1
2025-01-01,11.0
2025-02-01,10.4
