date,value
2020-01-01,3288
2020-02-01,3377
2020-03-01,3817
2020-04-01,3900
2020-05-01,3700
2020-06-01,3720
2020-07-01,3790
2020-08-01,3810
2020-09-01,3820
2020-10-01,3855
2020-11-01,3700
2020-12-01,3432
2021-01-01,3554
2021-02-01,3610
2021-03-01,3680
2021-04-01,3810
2021-05-01,3800
2021-06-01,3740
2021-07-01,3860
2021-08-01,3965
2021-09-01,3808
2021-10-01,3850
2021-11-01,3955
2021-12-01,3981
2022-01-01,3990
2022-02-01,3930
2022-03-01,3817
2022-04-01,3770
2022-05-01,3900
2022-06-01,4170
2022-07-01,4370
2022-08-01,4450
2022-09-01,4630
2022-10-01,4970
2022-11-01,4820
2022-12-01,4810
2023-01-01,4620
2023-02-01,4720
2023-03-01,4640
2023-04-01,4600
2023-05-01,4530
2023-06-01,4360
2023-07-01,4120
2023-08-01,4108
2023-09-01,4310
2023-10-01,4280
2023-11-01,4010
2023-12-01,3960
2024-01-01,3920
2024-02-01,3930
2024-03-01,3940
2024-04-01,3890
2024-05-01,3900
2024-06-01,4120
2024-07-01,4200
2024-08-01,4190
2024-09-01,4165
2024-10-01,4330
2024-11-01,4410
2024-12-01,4380
2025-01-01,4395
2025-02-01,4358
