date,value
2020-01-01,5.78
2020-02-01,5.71
2020-03-01,5.53
2020-04-01,5.3
2020-05-01,4.92
2020-06-01,4.55
2020-07-01,4.14
2020-08-01,3.94
2020-09-01,3.69
2020-10-01,3.48
2020-11-01,3.37
2020-12-01,3.33
2021-01-01,3.33
2021-02-01,3.25
2021-03-01,3.18
2021-04-01,3.11
2021-05-01,3.08
2021-06-01,3.05
2021-07-01,3.11
2021-08-01,3.19
2021-09-01,3.27
2021-10-01,3.36
2021-11-01,3.49
2021-12-01,3.63
2022-01-01,3.82
2022-02-01,3.95
2022-03-01,4.14
2022-04-01,4.41
2022-05-01,4.6
2022-06-01,4.89
2022-07-01,5.18
2022-08-01,5.5
2022-09-01,5.81
2022-10-01,6.2
2022-11-01,6.58
2022-12-01,6.96
2023-01-01,7.36
2023-02-01,7.63
2023-03-01,7.88
2023-04-01,8.11
2023-05-01,8.23
2023-06-01,8.3
2023-07-01,8.32
2023-08-01,8.35
2023-09-01,8.45
2023-10-01,8.53
2023-11-01,8.52
2023-12-01,8.67
2024-01-01,8.65
2024-02-01,8.74
2024-03-01,8.79
2024-04-01,8.64
2024-05-01,8.63
2024-06-01,8.64
2024-07-01,8.57
2024-08-01,8.54
2024-09-01,8.49
2024-10-01,8.25
2024-11-01,8.1
2024-12-01,8.05
2025-01-01,7.88
2025-02-01,7.75
2025-03-01,7.46
2025-04-01,7.17
2025-05-01,6.91
2025-06-01,6.65
2025-07-01,6.36
2025-08-01,6.21
2025-09-01,6.09
2025-10-01,5.93
2025-11-01,5.8
2025-12-01,5.7
2026-01-01,5.63
