date,value
2020-01-01,3.640436
2020-02-01,3.60101
2020-03-01,3.293556
2020-04-01,4.862357
2020-05-01,4.262183
2020-06-01,5.489447
2020-07-01,5.074242
2020-08-01,4.918603
2020-09-01,4.790339
2020-10-01,4.634164
2020-11-01,4.499905
2020-12-01,4.148128
2021-01-01,4.501489
2021-02-01,4.484796
2021-03-01,4.378319
2021-04-01,4.823739
2021-05-01,4.041874
2021-06-01,3.994099
2021-07-01,4.120456
2021-08-01,3.99161
2021-09-01,3.882024
2021-10-01,3.86077
2021-11-01,3.75107
2021-12-01,3.832432
2022-01-01,3.542057
2022-02-01,3.813396
2022-03-01,3.394514
2022-04-01,3.150195
2022-05-01,3.304384
2022-06-01,3.343039
2022-07-01,3.222686
2022-08-01,3.254427
2022-09-01,3.098665
2022-10-01,3.248998
2022-11-01,2.92332
2022-12-01,2.985578
2023-01-01,2.886469
2023-02-01,2.784608
2023-03-01,2.744186
2023-04-01,2.933077
2023-05-01,2.956842
2023-06-01,2.644591
2023-07-01,2.918205
2023-08-01,2.716059
2023-09-01,2.663907
2023-10-01,2.707854
2023-11-01,2.781015
2023-12-01,2.823227
2024-01-01,2.742904
2024-02-01,2.534293
2024-03-01,2.630963
2024-04-01,2.716007
2024-05-01,2.646508
2024-06-01,2.766063
2024-07-01,2.731479
2024-08-01,2.783108
2024-09-01,2.697418
2024-10-01,2.490831
2024-11-01,2.693887
2024-12-01,2.626253
2025-01-01,2.612412
2025-02-01,2.593303
2025-03-01,2.563326
2025-04-01,2.643845
2025-05-01,2.76193
2025-06-01,2.671148
2025-07-01,2.597593
2025-08-01,2.68597
2025-09-01,2.7441
2025-10-01,2.585675
2025-11-01,2.718259
2025-12-01,2.5811
