date,value
2020-01-31,18.89
2020-02-29,19.73
2020-03-31,23.448
2020-04-30,23.979
2020-05-31,22.17
2020-06-30,23.0821
2020-07-31,22.226
2020-08-31,21.88
2020-09-30,22.091
2020-10-31,21.276
2020-11-30,20.15
2020-12-31,19.892
2021-01-31,20.255
2021-02-28,20.935
2021-03-31,20.441
2021-04-30,20.169
2021-05-31,19.93
2021-06-30,19.906
2021-07-31,19.846
2021-08-31,20.074
2021-09-30,20.562
2021-10-31,20.551
2021-11-30,21.453
2021-12-31,20.514
2022-01-31,20.637
2022-02-28,20.403
2022-03-31,19.911
2022-04-30,20.359
2022-05-31,19.68
2022-06-30,20.118
2022-07-31,20.363
2022-08-31,20.086
2022-09-30,20.115
2022-10-31,19.848
2022-11-30,19.366
2022-12-31,19.496
2023-01-31,18.798
2023-02-28,18.345
2023-03-31,18.025
2023-04-30,17.9973
2023-05-31,17.7488
2023-06-30,17.1439
2023-07-31,16.7183
2023-08-31,16.881
2023-09-30,17.4064
2023-10-31,18.053
2023-11-30,17.3758
2023-12-31,16.8998
2024-01-31,17.1762
2024-02-29,17.058
2024-03-31,16.5574
2024-04-30,17.0642
2024-05-31,16.994
2024-06-30,18.261
2024-07-31,18.5975
2024-08-31,19.6576
2024-09-30,19.6903
2024-10-31,20.0314
2024-11-30,20.3142
2024-12-31,20.8557
2025-01-31,20.629
2025-02-28,20.5254
2025-03-31,20.4582
2025-04-30,19.5914
2025-05-31,19.3901
2025-06-30,18.8292
2025-07-31,18.797
2025-08-31,18.6381
2025-09-30,18.3442
2025-10-31,18.5465
2025-11-30,18.2915
2025-12-31,18.0057
2026-01-31,17.3493
2026-02-28,17.2207
2026-03-31,17.798
